Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description,Latitude,Longitude
1 Bedroom in 2 BHK,900,"235 Willett St, Halifax, NS B3M 3M9",2024-03-12T18:58:42.000Z,about 6 hours ago,Apartment,2,1,,,0,Month-to-month,No,"1,300",No,"Laundry (In Building),Fridge / Freezer",No,,Yes,,Owner,,One bedroom is available in 2BHK apartment in clayton park starting April 1st under month to month lease. Please dm to get more details and pictures. Washer and dryer is included in the building. Electricity and wifi is extra. Hydro is included.,44.65785,-63.65255
2 Bedroom + DEN in Halifax for June,3295,"6016 Pepperell Street, Halifax, NS, B3H 2N8",2024-03-12T18:58:58.000Z,about 6 hours ago,Apartment,2 + Den,2.5,,Not Included,0,1 Year,Limited,"1,313",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,Bicycle Parking,Storage Space",Professional,thegeorgeresidence.com,"The George offers Haligonians the best of both worlds: the opportunity to reside in a stylish modern building nestled in a vibrant downtown neighbourhood while also living just steps away from abundant green space. On the corner of Robie and Pepperell Streets, and only one block from Quinpool Road and the Halifax Common, The George is ideally located and designed for contemporary urban life. Comprised of six townhouse units and 166 light-filled suites, the building is as functional as it is beautiful. Residents will appreciate the elegant designer touches in every space, superb building amenities, and walkable access to Halifax's trendiest neighbourhoods,,-,Tenant Services Coordinator, 902 431 6016,info@thegeorgeresidence.com",44.64601,-63.59049
1 Bedroom + DEN Downtown Halifax for June,2145,"1530 Birmingham Street, Halifax, NS, B3J 0B5",2024-03-12T18:59:02.000Z,about 6 hours ago,Apartment,1 + Den,1,"Heat,Water",Not Included,0,1 Year,No,689,No,"Laundry (In Unit),Fridge / Freezer",No,,No,"Gym,24 Hour Security,Storage Space",Professional,vertusuites.com,"LIVE ABOVE IT ALL. Combining sleek design and modern day must haves, set amidst Halifax's most irresistible shops, restaurants, and cultural attractions, Vertu Suites is just steps away from Spring Garden Road. Captivate your senses with the spirit of the city and the lifestyle of having Halifax just beyond your doorstep.,Power,Underground Heat Parking Available - $200-$180/monthly,Storage Available - $45/monthly,Resident Managers,902 406 1530,info@vertusuites.com",44.64361,-63.57736
Corner Suite 2 bdrm/2 bthrm; Hammonds Plains 50+ Community,2295,"Appaloosa Run, Hammonds Plains, NS",2024-03-12T19:32:43.000Z,about 6 hours ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Limited,"1,225",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Owner,,"2 BEDROOM - 2 BATHROOM
Welcome to this spacious 2 bedroom/2 bathroom apartment in the Shiraz Gardens 50+ Community! If you are 50 or older this is the place to be! It is an entire community that caters to individuals who are yearning for peace and quiet.,If you have any questions or if you want to schedule a tour feel free to contact Gary Pike at gary@unitedgulf.ca or 782-414-4299,Some of the many features that are standard in most suites are:
...large windows allowing for an abundance of natural light.
...roll down blinds on all the windows
...in-floor heating
...6 appliances
...quartz counter tops
... occupancy is any time after March 1 2024
...lease is year to year
...in-unit laundry
...mini-split for air conditioning
...in-unit bins for recycling and garbage
...garbage/recycling/organics room in the basement
...spacious balcony
...5 ft walk-in shower in the ensuite.
...outlets in place for wall mounted TVs
...2 elevators
...common room
...postal delivery to the lobby
...in garage parking and storage space for $125/mth
The rent includes in-floor heating and hot water.
Lease is year to year,Please note that tenants must be 50 or older.
If you have any questions or if you want to schedule a tour feel free to contact Gary Pike at gary@unitedgulf.ca or 782-414-4299",44.72362,-63.74914
1 Bedroom + DEN Downtown Halifax for July,2195,"1530 Birmingham Street, Halifax, NS, B3J 0B5",2024-03-12T19:48:00.000Z,about 5 hours ago,Apartment,1 + Den,1,"Heat,Water",Not Included,0,1 Year,No,788,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,Bicycle Parking,Storage Space",Professional,vertusuites.com,"LIVE ABOVE IT ALL. Combining sleek design and modern day must haves, set amidst Halifax's most irresistible shops, restaurants, and cultural attractions, Vertu Suites is just steps away from Spring Garden Road. Captivate your senses with the spirit of the city and the lifestyle of having Halifax just beyond your doorstep., , , ,Power,Underground Heat Parking Available - $200-$180/monthly,Storage Available - $45/monthly,Resident Managers,902 406 1530,info@vertusuites.com",44.64361,-63.57736
"The Junction - 2 Bedroom, 2 Bathroom Apartment for Rent",2475,"3075 Devonshire Avenue, Halifax, NS, B3K 0H5",2024-03-12T19:54:00.000Z,about 5 hours ago,Apartment,2,2,,Not Included,0,1 Year,Yes,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Professional,www.hazelviewproperties.com,"Immerse yourself in the historic culture of the Hydrostone Market District at The Junction, a brand new 9-storey apartment community located in downtown Halifax.,Offering spacious 1 and 2 bedroom suites with open-concept layouts, these upscale apartments feature exposed concrete columns, in-suite laundry, and fully-equipped kitchens, all unified in a sleek and modern design. Spend an afternoon out on the podium terrace, or entertain for the evening inside the comfortable and stylish lounge, featuring a kitchen and communal dining area.,We invite you to set your roots in these stunning apartments with breathtaking views, overlooking the downtown Dartmouth skyline, Halifax Habour, and MacDonald Bridge. The pet friendly community puts you steps from some of the city's best cafes, dining, and hangout spots. Whether biking or driving, The Junction sits at a highly accessible location and features a bicycle room and underground car parking for your convenience.",44.66449,-63.59473
Bright 1 Bedroom Near Dalhousie University,1850,"1545 Oxford Street, Halifax, NS, B3H 3Z3",2024-03-12T19:54:01.000Z,about 5 hours ago,Apartment,1,1,Water,Not Included,1,Not Available,Yes,475,No,Fridge / Freezer,No,,No,"Storage Space,Elevator in Building",Professional,templetonproperties.rhenti.com,"This beautifully designed 1-bedroom, 1-bathroom unit is perfect for students, couples, and young professionals looking for a comfortable and convenient home.,Step into this inviting apartment and immediately notice the abundance of natural light that floods the space, creating a warm and inviting atmosphere. The large windows not only brighten up the unit but also provide picturesque views of the surrounding neighborhood. You'll love the functionality of the fully equipped kitchen, complete with a fridge and stove, allowing you to effortlessly prepare delicious meals at your convenience.Laundry day will be a breeze as the building offers common laundry facilities, saving you time and hassle.,Speaking of convenience, this unit is perfectly situated close to Dalhousie University, making commuting a breeze for students. One of the best features of this apartment is that it is located in a quiet building, ensuring peace and tranquility in your everyday life. You'll find solace in returning to this peaceful retreat after a long day of classes or work.,Don't miss out on the opportunity to experience the perfect blend of comfort, convenience, and peaceful living. Book a tour today and discover why this unit is the ideal place to call home!,Welcome to Oxford House, a mid-rise apartment community nestled in a quiet and safe neighborhood in Halifax, Nova Scotia. With its prime location on Oxford Street, this property offers a fantastic living experience for students, couples, and young professionals alike.,For students, Oxford House is an ideal choice as it is within walking distance to Dalhousie University. Imagine the convenience of rolling out of bed and strolling to class, saving precious time and eliminating the hassle of commuting. Our proximity to the university ensures that you can fully immerse yourself in the academic atmosphere while enjoying the comforts of a peaceful and quiet neighborhood.,With amenities like outdoor parking, elevators, on-site staff, and laundry facilities, your daily routine becomes effortless. Whether you are commuting to work or exploring the vibrant city of Halifax, you can count on Oxford House to provide a welcoming and well-maintained home to return to at the end of the day. Don't miss the opportunity to call Oxford House your new home.,Welcome to Oxford House, a mid-rise apartment community nestled in a quiet and safe neighborhood in Halifax, Nova Scotia. With its prime location on Oxford Street, this property offers a fantastic living experience for students, couples, and young professionals alike.,For students, Oxford House is an ideal choice as it is within walking distance to Dalhousie University. Imagine the convenience of rolling out of bed and strolling to class, saving precious time and eliminating the hassle of commuting. Our proximity to the university ensures that you can fully immerse yourself in the academic atmosphere while enjoying the comforts of a peaceful and quiet neighborhood.,With amenities like outdoor parking, elevators, on-site staff, and laundry facilities, your daily routine becomes effortless. Whether you are commuting to work or exploring the vibrant city of Halifax, you can count on Oxford House to provide a welcoming and well-maintained home to return to at the end of the day. Don't miss the opportunity to call Oxford House your new home.",44.6384,-63.59656
OPEN HOUSE SATURDAY 10-4  2 BEDROOM - NEAR UNIVERSITIES,2598,"5651 Ogilvie Street, Halifax, NS, B3H 1B9",2024-03-12T02:09:06.000Z,about 23 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,"Bicycle Parking,Elevator in Building",Professional,ogilvie-universalgroup.securecafe.com,,44.629,-63.57132
OPEN HOUSE SATURDAY 10-4  1 BEDROOM + DEN NEAR UNIVERSITIES,2100,"5651 Ogilvie Street, Halifax, NS, B3H 1B9",2024-03-12T02:09:10.000Z,about 23 hours ago,Apartment,1 + Den,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,Elevator in Building,Professional,ogilvie-universalgroup.securecafe.com,,44.629,-63.57132
DOWNTOWN HALIFAX PRE-SPRING MULTI-OPEN HOUSE THIS WEEKEND!,,"1551 South Park Street, Halifax, NS, B3J 4B4",2024-03-12T02:09:20.000Z,about 23 hours ago,Apartment,1,1,,Not Included,0,1 Year,Limited,Not Available,No,,No,,Yes,,Professional,universalgroup.ca,,44.64341,-63.57996
OPEN HOUSE SATURDAY 10-4 - 1 BED SOUTHEND HALIFAX,,"5415 Victoria Road, Halifax, NS, B3H 4K5",2024-03-12T02:09:24.000Z,about 23 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,"Pool,Bicycle Parking,Elevator in Building",Professional,southpoint-universalgroup.securecafe.com,,44.63639,-63.57163
OPEN HOUSE SATURDAY 10-4 - BACHELOR APARTMENT SOUTH END,1612,"5415 Victoria Road, Halifax, NS, B3H 4K5",2024-03-12T02:09:28.000Z,about 23 hours ago,Apartment,Bachelor/Studio,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Yes,"Pool,Bicycle Parking,Elevator in Building",Professional,southpoint-universalgroup.securecafe.com,,44.63639,-63.57163
LOVELY - 2 BEDROOM ON SPRING GARDEN RD,3200,"5670 Spring Garden Road, Halifax, NS, B3J 1H6",2024-03-12T02:09:36.000Z,about 23 hours ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Gym,Bicycle Parking,Elevator in Building",Professional,muse.universalgroup.ca,"After years of commanding the corner as an iconic office tower, Universal Realty is pleased to present The Muse. Located at 5670 Spring Garden Road at the corner of Brenton Street, residents are mere moments from the Halifax Public Gardens, Dalhousie, Saint Mary's, hospitals, and an amazing selection of dowtown shopping and dining. Get ready to experience stylish interiors enhanced by with a light-filled, airy ambiance - it's the ultimate in urban living.",44.64237,-63.57878
STUNNING 1 BED + DEN IN BEDFORD,,"230 Larry Uteck Blvd, Bedford, NS, B3N 0N1",2024-03-12T02:09:32.000Z,about 23 hours ago,Apartment,1 + Den,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,universalgroup.ca,"Choose a lifestyle youll love with a designer apartment enhanced by spectacular views. The Charles I offers an attractive fusion of classic refinement and modern flair for living space with timeless style and enduring comfort. There are a variety of floor plans still available, from 1 3 Bedroom. Bedford has a lot to offer as one of Halifaxs fastest growing urban communities. Enjoy a great selection of markets, dining, recreation and wellness amenities with easy access to downtown connector routes.,Features & Amenities,The Charles is pleased to offer remote showings by video tour and image sharing. For details call 902-329-4843 or email charles@universalgroup.ca",44.69936,-63.66905
1 bedroom available ,1350,"Touchstone Ct, Lower Sackville, NS B4E 2P4",2024-03-12T02:44:56.000Z,about 22 hours ago,Apartment,2 + Den,1,,Not Included,1,Month-to-month,No,"1,200",No,,Yes,,Yes,,Owner,,"One bedroom available in two bedroom apartment from 1 april,
Can be furnished if needed
Couple preferred or two girls",44.77128,-63.69621
Downtown HFX Furnished HOUSE and INCLUDES Utilities/Wifi,2500,"Clifton St, Halifax, NS B3K",2024-03-12T02:52:03.000Z,about 22 hours ago,Apartment,1,1,"Hydro,Heat,Water",,1,Month-to-month,Yes,"1,280",Yes,"Laundry (In Unit),Laundry (In Building)",Yes,"Yard,Balcony",Outdoors only,,Owner,,"The Beautiful House. 5222 Kent st
Available for Families or Sharing up to 4 people
Extra spacious
King bed in the bedroom and
King bed in the living room
Available April 15!
I also have other units for April 1 at,PET Friendly
Ready for immediate occupancy
5222 Kent st
Downtown south end HFX
Super close to Smu and Dalhousie
902 981 4936
No credit checks or references needed
No deposit either
Parking included
Extra beds to be provided if you want to have more family or friends to share with u
Includes wifi electricity and water
And parking
U don’t pay anything else but the rent
",44.65378,-63.59629
NEWLY RENOVATED 2BR plus Den South End Halifax!!,2495,"1472 Cathedral Lane, Halifax, NS, B3H 4L4",2024-03-12T09:57:31.000Z,about 15 hours ago,Apartment,2 + Den,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Gym,Elevator in Building",Professional,killamreit.com,"Overlooking the Public Gardens, Garden Park Apartments is in the heart of Halifax. Located along Spring Garden Road this terrific building is among shopping, fine dining, and main bus routes. Just a 10-15 minute walk to Dalhousie University, St. Marys University and hospitals, this location is excellent for students and professionals. Garden Park apartment offers quality apartments with modern finishes, underground parking, on-site staff, and an amazing rooftop patio. This building is the best area of Halifax with all your needs and entertainment within walking distance.",44.64169,-63.58058
Beautiful bachelor apartment for March 15th!,1695,"5885 Spring Garden Road, Halifax, NS, B3H 1y3",2024-03-12T09:57:37.000Z,about 15 hours ago,Apartment,Bachelor/Studio,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,"Pool,Concierge",Professional,killamreit.com,"There are few buildings in Halifax that are more centrally located than Spring Garden Terrace. The apartments are located on Spring Garden Road, a main street in Halifax. This location means that shopping, movies, restaurants, and the waterfront are only a short walk away. It is also close to the hospital and a number of schools and universities. Most apartments feature balconies and residents have access to an outdoor pool. Spring Garden Terrace is a comfortable building with a commanding location.,With so many perks, what's not to love?,Amazing opportunity to live in this incredible area, so don't delay!,Reach out today to schedule a viewing for this suite!",44.64126,-63.58474
Spacious 2 BR at The Alexander - Avail May 1st,2695,"5121 Bishop Street, Halifax, NS, B3J 0E5",2024-03-12T09:57:44.000Z,about 15 hours ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Yes,976,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Concierge,Bicycle Parking,Storage Space,Elevator in Building",Professional,killamreit.com,,44.64371,-63.56977
2 bedroom 2 bathroom penthouse at the Alexander!,4275,"5121 Bishop Street, Halifax, NS, B3J 0E5",2024-03-12T09:57:50.000Z,about 15 hours ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Limited,"1,400",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Concierge,Bicycle Parking,Storage Space,Elevator in Building",Professional,killamreit.com,,44.64371,-63.56977
96 Central Ave - One Bedroom Apartment for Rent,1475,"96 Central Ave, Halifax, NS, B3N 2H8",2024-03-12T11:42:00.000Z,about 13 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Yes,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Professional,twin-city.lws1.com,"Located on a quiet residential street in Fairview, this medium sized building has both one bedroom and bachelor apartments. This is an excellent location close to schools and shopping and other amenities. Many of the apartments feature laminate flooring and newly renovated kitchens and bathrooms. There is onsite parking and laundry facilities for tenant use.,One bedroom suite available now $1475/month. Rent includes heat, hot water, water, 1 parking space.,No cats or dogs permitted.,This is a non smoking unit.,For further information or book a showing please contact Tony at (902) 293-7491.,Located on a quiet residential street in Fairview, this medium sized building has both one bedroom and bachelor apartments. This is an excellent location close to schools and shopping and other amenities. Many of the apartments feature laminate flooring and updated bathrooms. There is onsite parking and laundry facilities for tenant use.,For further information or book a showing please contact our property manager Joe 902-468-6181.",44.65025,-63.64147
"Lotus Point - 2 Bdrm available at 101 Ochterloney St , Dartmouth",2805,"101 Ochterloney St, Dartmouth, NS, B2Y 1C6",2024-03-12T11:42:00.000Z,about 13 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,Month-to-month,Yes,"1,378",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/dartmouth-ns/lotus-point/,This apartment building is the epitome of modern living, offering a range of features designed to provide a comfortable living experience.,Entertain guests or simply relax outdoors during the warmer months in our furnished rooftop terrace, featuring amazing harbour views. You can also reserve the spacious lounge, equipped with a full kitchen, for hosting events.,Maintaining physical fitness is crucial for overall health and well-being, and our well-equipped fitness room provides a convenient and effective space for residents to achieve their fitness goals without ever having to leave the building., , ,What's included in your rent,Heat, Laundry, Water,Have Questions? Contact the Property Manager: 902-800-3783 ",44.66833,-63.56666
"Fantastic 2 bedroom North end Halifax, July 15th- $2295.00",2295,"5511 Charles St., Halifax, NS, B3K 1K1",2024-03-12T13:00:01.000Z,about 12 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,Elevator in Building,Professional,www.olympusproperties.ca,"To apply please visit our site's home page: WWW.OLYMPUSPROPERTIES.CA,For general inquiries please contact James at 902-209-0030,Large 2 bedroom. This beautiful newly refreshed unit has laminate and ceramic floors throughout and is located at 5511 Charles Street near downtown Halifax. Professionally managed clean, quiet, secure 4-story 36-unit building with elevator. Only minutes away from downtown Halifax & Dartmouth, the MacDonald Bridge, Burnside Industrial Park, Stadacona Military Base, the Halifax Ship Yard, universities, hospitals, clinics, and all your necessary amenities. Rent includes heat, hot & cold water, fridge, stove, dishwasher, microwave, and coin-operated laundry. Parking is available for an extra monthly fee. Great access to public transportation.,Sorry, NO PETS or NO SMOKING allowed,***PHOTOS ARE OF A SIMILAR UNIT***",44.65643,-63.59023
"1 BEDROOM INCL. HEAT, HOT WATER, DISHWASHER, BALCONY + 1 PARKING",1375,"Old Sackville Road, Lower Sackville, NS",2024-03-11T17:20:59.000Z,a day ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,Limited,1,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,,Owner,,"August 1, 2024: 1 Bedroom starting at $1375 with Dishwasher.,Available at Sackville View Apartments is situated next to the RCMP station on Old Sackville Road which is just off of Hwy 102 Beaver Bank exit and walking distance to the metro link.,The rent includes Heat, Hot water, Fridge, Stove, Dishwasher, 1 Parking, Onsite laundry facilities, balcony, Building Manager, and Security doors.,Pets Allowed with approval of Property Manager but NO DOGS.,Close to shopping center, and the bus terminal.,We allow smoking outside on the balcony only.,If interested in the apartment, please apply online at our website at www.bandnproperties.ca and someone in the office will be in contact with you regarding the apartment to do a showing.,For General information on the apartment please call Patrick at 902-830-1624,Pictures are general pictures may not be of the actual apartment for rent.,For up to date availabilities and availabilities in other apartments in the area please visit our website at www.bandnproperties.ca",44.76803,-63.69438
