Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description,Latitude,Longitude,extraction_date
Two(2)Bedroom Middle Flat/Apartment For Rent in Dartmouth,2100,"Dartmouth, NS B2W 1A1",2024-03-19T20:44:30.000Z,about 4 hours ago,Apartment,2,1,Water,Not Included,2,1 Year,Limited,"1,200",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,"Yard,Balcony",Outdoors only,,Owner,,"Now renting Middle Unit at this property. The rent is $2,100 plus utilities, except it includes water. It is a 2 bedroom flat, 1100 square feet, Electric Heat, Hardwood Floors throughout the whole unit, crown molding and custom trim job, Large Kitchen. Unit includes all new appliances, including a stackable washer and dryer. There is a large backyard with deck. Front deck overlooking Halifax Harbour, walking distance to Woodside Ferry and 5 min drive from the Shearwater Air Force Base. There are 2 parking spots available for each flat. There is roxual fire and sound insulation located between each floor with sound rating of STC 52. Each unit has its own H.R.V. Unit. The Unit is available April 1sth, 2024 Mature and Professional People/Couples Only! No small children under 8yrs old. Smoke and Drug Free Units. Serious inquires only that can provide rental and employment verification/references. Indoor house cat and small dog allowed! Dogs under 10lbs",44.64484,-63.54314,2024-03-19
LARGE 2 BEDROOM IN WEST END HALIFAX,2291,"6969 Bayers Road, Halifax, NS, B3L 4P3",2024-03-19T21:01:48.000Z,about 3 hours ago,Apartment,2,1,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,"Yard,Balcony",No,,Professional,bayers1-universalgroup.securecafe.com,"Bayers Park Apartments brings together a harmonious fusion of convenience and comfort, boasting not only an excellent location but also generously sized living spaces.,Situated in the heart of Halifax's West End, this serene locale is mere moments from the Canada Games Centre, Public Library, and Bayers Lake shopping district. Moreover, easy access to Bayers Road Centre, the Halifax Shopping Centre, and nearby parks further enhances the appeal.,Perfectly suited for those who value spacious living, Bayers Park Apartments boasts well-connected access to major bus routes. The warm and inviting ambiance of the community further enhances its appeal.,Beautiful 2 bedroom apartment now available.,Enjoy:,Spacious, renovated apartments featuring abundant storage space.,A blend of laminate, carpet, and ceramic flooring.,New appliances in select suites.,Each unit features a generous balcony.,On-site laundry amenities.,Conveniently services with two spacious elevators.,Inclusive of heat, hot water, and parking.,PLUS, for seniors aged 55 and older, NO SECURITY DEPOSIT is required.,Discover the comfort and ease of life at Bayers Park!",44.65563,-63.62416,2024-03-19
AMAZING 1 BEDROOM AVAILABLE IN CLAYTON PARK,1839,"85 Westgrove, 241 Willett Street, 235 Willett Street, Halifax, NS, B3M 3L7",2024-03-19T21:01:49.000Z,about 3 hours ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,Storage Space,Professional,universalgroup.ca,,44.65875,-63.65255,2024-03-19
OPEN HOUSE SATURDAY 10-4 -  2 BEDROOM DOWNTOWN HALIFAX,,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",2024-03-19T21:01:55.000Z,about 3 hours ago,Apartment,2,2,Water,Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,Yes,"Gym,Concierge,24 Hour Security",Professional,paramount-universalgroup.securecafe.com,"Experience elevated living in an unbeatable downtown Halifax location. The Paramount offers an exclusive vantage point overlooking the serene Public Gardens, with the brand-new John W. Lindsay YMCA, fabulous dining options and boutiques just steps away. With its modern architectural design, luxurious finishes, and thoughtful layout, this prestigious address redefines spacious living, rare for downtown Halifax.,Oversize windows flood the dining and living spaces with natural light, creating a fresh and inviting atmosphere. Stylish renovations have revitalized the common areas, from the welcoming lobby to the hallways and the stunning resident club room. You'll find instagrammable moments everywhere.,Key Features:,Discover a new level of urban living at The Paramount.",44.6489,-63.57537,2024-03-19
OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM NEAR PUBLIC GARDENS,,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",2024-03-19T21:01:57.000Z,about 3 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Concierge,24 Hour Security,Bicycle Parking,Elevator in Building",Professional,paramount-universalgroup.securecafe.com,,44.6489,-63.57537,2024-03-19
OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM DOWNTOWN HALIFAX,,"1015 Barrington Street, Halifax, NS, B3H 4R4",2024-03-19T21:01:57.000Z,about 3 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,Yes,Bicycle Parking,Professional,peninsula-universalgroup.securecafe.com,"Welcome to Peninsula Place, where community and convenience come together to define the essence of an exceptional downtown neighborhood.,Discover a life of comfort enriched by five essential appliances, the convenience of in-suite laundry, and the choice of underground or outdoor parking. These elements harmonize seamlessly to create a lifestyle that's both rejuvenating and relaxed.,Each day greets you with captivating city vistas and/or views of the Halifax Harbour from your windows.,Embrace the allure of leisurely strolls to iconic destinations. Immerse yourself in the vibrant Halifax Seaport Farmers Market, wander along the bustling Halifax boardwalk, and find tranquility within the enchanting embrace of Point Pleasant Park. Convenience continues to unfold with Sobeys, Superstore, Tim Hortons, and an array of inviting bars, restaurants, and shops just a stroll away.,Features & Amenities:,Come home to Peninsula Place, where you'll find a vibrant community and all the conveniences of downtown living, right at your doorstep.",44.63632,-63.56918,2024-03-19
Brand new 1 bedroom 1 bathroom apartment ,1800,"Morris St, Halifax, NS B3J 1C4",2024-03-19T21:02:19.000Z,about 3 hours ago,Apartment,1 + Den,1,"Hydro,Heat,Water",Not Included,0,1 Year,No,500,No,"Dishwasher,Fridge / Freezer",No,,No,,Owner,,"Brand new one bedroom with den available right away. Recently renovated, all new appliances, new floor, fresh paint throughout. Brand new bathroom. Private new washer and dryer in unit.
Great location on the corner of Morris and dresden. Very walkable area, no parking available
$1,800 everything included other than wifi. Available right away",44.64047,-63.57684,2024-03-19
Private Room for Rent,,"Abbey Rd, Halifax, B3P 2M6",2024-03-19T14:51:18.000Z,about 9 hours ago,Apartment,1 + Den,1,,,1,Month-to-month,Limited,"1,250",Yes,"Laundry (In Building),Fridge / Freezer",Yes,Balcony,Outdoors only,,Owner,,"Private room Available for rent!! From May 1st.
For more details dm me with your name and cont. info. Will reach out to you ASAP!!
Only for Girls or Couple.",44.62825,-63.6221,2024-03-19
North End - 1 Bedroom 1 Bath,2050,"Halifax, NS B3K 0C5",2024-03-19T14:56:40.000Z,about 9 hours ago,Condo,1,1,Water,Not Included,0,1 Year,No,500,Yes,"Laundry (In Unit),Fridge / Freezer",No,,No,Elevator in Building,Owner,,"Theatre Lofts - North End - 5-minute walk to downtown. Numerous restaurants, cafes, and retailers are within walking distance.,Suite Details
- Semi-Furnished
- 10ft Ceiling
- Concrete In-floor Heating
- Ensuite Washer/Dryer
- Large Closet
- Shower / Tub
- 3 Large Eastern Facing Windows (2 Operable) + Blinds,Water Included
Utilities Separate,Available: June 1, 2024,Message for any questions! Currently, scheduling viewings for Saturday (March 30th)",44.65173,-63.5838,2024-03-19
Renovated 1 Bedroom  Apartments in Halifax - 18 Crown Drive,,"Halifax, NS B3M 1C3",2024-03-19T15:00:31.000Z,about 9 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,500,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,"24 Hour Security,Elevator in Building",Professional,,"The Housing Trust owns a total of 295 units in five multi-family buildings in Halifax and Dartmouth and is building housing for healthcare and other skilled workers across the province. Our goal is to acquire or build 1,000 units by 2030, transitioning units from the private sector to the community or non-profit sector and building in partnership to create a stock of perpetually affordable housing.,We’ll implement our “mixed income” model at all our buildings, ensuring they are more affordable to working households and people on fixed incomes. The combination of rent levels in each building helps keep the building financially sustainable and allows a range of households to afford to live in a neighbourhood. That can help keep a community diverse and vibrant. We’ll also work to improve the energy efficiency of our buildings to help control costs and achieve environmental goals.,We currently have 1 Bedroom apartments available at 18 Crown Drive. These units have been renovated with modern appliances, updated bathrooms and kitchens, new flooring and painting throughout. Eligible tenants must have a household income of between $30,000 and $75,000 per year and must show proof of employment, identification and insurance coverage. Monthly rent for one bedroom units are starting at $1,450 per month, heat and hot water included in the monthly rent. Units are non smoking and pets permitted (cats only).",44.66213,-63.63181,2024-03-19
"2 BDRM / 2BTHRM AT 35 BENTLY DRIVE, LUXURY LIVING IN MT ROYALE!",2275,"35 Bently Drive, Halifax, NS",2024-03-19T15:09:58.000Z,about 9 hours ago,Apartment,2,2,"Heat,Water",Not Included,1,1 Year,No,"1,300",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Storage Space,Elevator in Building",Owner,,"HIGHEST PEAK IN ALL HALIFAX, BEST VIEW!
Available immediately!
Price starts at $2275 up to $3800 per month.
2 bedrooms plus den and 2 full bathrooms.
They include 6 appliances; Fridge, stove, dishwasher, microwave, washer and dryer.
In kitchen appliances are all stainless steel.
2 elevators.
Balcony.
1 indoor parking spot with a storage room.
Generator if power outage.
Heat and hot water included.
Exercise room are included as well.
This is a prime location next to the new entrance to Bayers Lake.
For viewing call Barb at (902)414-8360.
Also, look us up under ROYAL VIEW APARTMENTS!",44.64851,-63.65652,2024-03-19
"Lease take over!! 1 BED 1 BATH, CONNAUGHT AVENUE",1890,"Connaught Avenue, Halifax, NS",2024-03-19T15:15:04.000Z,about 9 hours ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,Yes,500,No,Laundry (In Unit),No,"Yard,Balcony",No,,Owner,,"Available from April - end of August with the option to renew at the end of the lease,This apartment features a bright beautiful 1 bedroom, 1 bathroom apartment, newly renovated on Connaught Ave. Halifax.,The apartment was fully re-designed to offer great comfort, functionality, and lots of natural light.,The house is located minutes away to all city’s interests: hospitals, universities, Halifax Shopping Center, Quinpool Shopping Area, libraries, fitness centers, downtown, highways and both bridges to Dartmouth.,The apartment features:,• Bright living room with direct access via glass patio door to a 8’x26’ sunny deck with direct access to the fully fenced back yard,• Nice renovated U shape kitchen open concept with dining area,• Large size bedroom (fits king size set) with two windows and walking closet,• New maple and olive hardwood and ceramic flooring,• 6 large appliances: oven/stove; over stove microwave, fridge; dishwasher; washer and dryer,• Fire proof walls, ceilings and doors,• New walls, plumbing, electrical, insulation, doors, electrical & plumbing fixtures, etc.,• Large windows and patio door,• Private large sunny deck (south/west view),• Large treed fenced back yard, like park style,The rent is $1,890/month. The apartment is available from March 1st - August 31st.,Rent includes:,• Heat,• Hot water,• 1 parking spot,• Landscaping,One pet accepted per apartment (cat or small dog) is allowed landlord approval.,*** NO Smoking, Vaping, Cannabis or Party House!,These are non- negotiable:
1. No job or low paid job and with no permanent residents guarantors who earn at least $75,000/year are not accepted
2. More than a single/ couple interested is not acceptable
3. They are not in a lease agreement currently; the property owner does not know they live in their unit- not acceptable
4. Students who have scholarships or loans still have to have permanent residents guarantors who earn at least $75,000/year
5. They are looking for a lease term ending earlier than Aug 31, 2024.
6. If they smoke, no matter what and why, they are not acceptable.
7. If they have more than one pet, or if the pet is not fixed adult, not acceptable.,Professional and respectful landlord!,For rental information please text 204-871-2719,Thank you for your interest in our apartment!",44.65301,-63.61637,2024-03-19
BEAUTIFUL 2 BEDROOM IN DARTMOUTH ON ROLEIKA DRIVE!,1496,"104 Roleika Dr., Dartmouth, NS, B2X 1M7",2024-03-19T15:30:00.000Z,about 9 hours ago,Condo,2,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,No,Elevator in Building,Professional,,"Dartmouth 2 BR- Apartment starting from $1,496 per month (includes Heat and Water!),Parking Available Onsite @ $25/month,Please contact our on-site Property Manager for more information and to set up a viewing at: (902) 462-3544 or at pinegreenpm@macdane.com,*Pictures may not show exact units,* Balconies are only available at 14 Churchill and 104 Roleika",44.68853,-63.52787,2024-03-19
BEAUTIFUL 2+1 BED APT RENTAL AVAILABLE IN DARTMOUTH,1540,"14 Churchill Court, Dartmouth, NS, B2X 1N4",2024-03-19T15:36:01.000Z,about 9 hours ago,Apartment,3,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,Elevator in Building,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth 2+1 BR- Apartment from$1540.00 per month(includes Heat and Water!),Parking Available Onsite @ $25/month,Please contact our on-site Property Manager for more information and to set up a viewing at:(902) 462-3544, or (902) 830-4851,*Pictures may not show exact units",44.68793,-63.52715,2024-03-19
BEAUTIFUL 1 BEDROOM IN DARTMOUTH!,1295,"50 Roleika Dr., Dartmouth, NS, B2X 1M4",2024-03-19T15:48:01.000Z,about 9 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,,No,,No,Elevator in Building,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth 1 BR- Apartment from $1295.00 per month (includes Heat and Water!),Parking Available Onsite @ $25/month",44.68759,-63.52904,2024-03-19
BEAUTIFUL 1 BEDROOM IN DARTMOUTH!,1295,"50 Roleika Dr., Dartmouth, NS, B2X 1M4",2024-03-19T15:54:01.000Z,about 8 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,,No,,No,Elevator in Building,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth 1 BR- Apartment from $1295.00 per month (includes Heat and Water!),Parking Available Onsite @ $25/month",44.68759,-63.52904,2024-03-19
BEAUTIFUL 2+1 BED APT RENTAL AVAILABLE IN DARTMOUTH,1540,"14 Churchill Court, Dartmouth, NS, B2X 1N4",2024-03-19T15:54:01.000Z,about 8 hours ago,Apartment,3,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,Elevator in Building,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth 2+1 BR- Apartment from$1540.00 per month(includes Heat and Water!),Parking Available Onsite @ $25/month,Please contact our on-site Property Manager for more information and to set up a viewing at:(902) 462-3544, or (902) 830-4851,*Pictures may not show exact units",44.68793,-63.52715,2024-03-19
