Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name
OPEN HOUSE SATURDAY 10-4 - BACHELOR APARTMENT SOUTH END,1612.0,"5415 Victoria Road, Halifax, NS, B3H 4K5",2024-02-29T01:29:13.000Z,about 16 hours ago,Apartment,Bachelor/Studio,1.0,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Yes,"Pool,Bicycle Parking,Elevator in Building",Professional,southpoint-universalgroup.securecafe.com
OPEN HOUSE SATURDAY 10-4 - 3 BED SOUTHEND HALIFAX,3000.0,"5415 Victoria Road, Halifax, NS, B3H 4K5",2024-02-29T01:29:17.000Z,about 16 hours ago,Apartment,3,2.0,"Hydro,Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,"Pool,Bicycle Parking,Storage Space,Elevator in Building",Professional,southpoint-universalgroup.securecafe.com
STUNNING 1 BED + DEN IN BEDFORD,,"230 Larry Uteck Blvd, Bedford, NS, B3N 0N1",2024-02-29T01:29:22.000Z,about 16 hours ago,Apartment,1 + Den,1.0,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,universalgroup.ca
LOVELY - 2 BEDROOM ON SPRING GARDEN RD,3200.0,"5670 Spring Garden Road, Halifax, NS, B3J 1H6",2024-02-29T01:29:27.000Z,about 16 hours ago,Apartment,2,2.0,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Gym,Bicycle Parking,Elevator in Building",Professional,muse.universalgroup.ca
Royal Gardens - 2 Bedroom Apartment for Rent,2500.0,"671 Larry Uteck Boulevard, Bedford, NS, B3M 0J6",2024-02-29T01:32:02.000Z,about 16 hours ago,Apartment,2,2.0,,Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Storage Space,Elevator in Building",Professional,
Bedford 3 Bedroom 2 Bath Apartment for Rent:,2985.0,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",2024-02-29T11:05:43.000Z,about 7 hours ago,Apartment,3,2.0,,Not Included,0,1 Year,No,1,No,Dishwasher,Yes,,No,Elevator in Building,Professional,www.skylineliving.ca
NEWLY RENOVATED 2BR plus Den South End Halifax!!,2595.0,"1472 Cathedral Lane, Halifax, NS, B3H 4L4",2024-02-29T11:48:10.000Z,about 6 hours ago,Apartment,2 + Den,1.0,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Gym,Elevator in Building",Professional,killamreit.com
270 Willett St./Clayton Park 2-Bdrm available now or April 1,1865.0,"Halifax, NS B3M 3L9",2024-02-28T19:55:39.000Z,about 22 hours ago,Apartment,2,1.0,"Heat,Water",Not Included,1,1 Year,No,900,No,Laundry (In Building),No,,Outdoors only,,Professional,
"2 Bedroom 1 Bath Apartment in Central Halifax, near Quinpool",2095.0,"Halifax, NS B3N 2G5",2024-02-28T20:01:39.000Z,about 22 hours ago,Apartment,2,1.0,Water,Not Included,0,1 Year,Limited,850,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,,Owner,
BRIGHT/1BR 2ndFLFlat/CLS2DAL/CLS2DWNTN/JUNE1st/$1650INCL,1650.0,"Carlton Street, Halifax, NS",2024-02-28T20:24:37.000Z,about 21 hours ago,Apartment,1,1.0,"Hydro,Heat,Water",Not Included,0,1 Year,No,400,No,Fridge / Freezer,No,Balcony,No,,Owner,
2 Bedroom + DEN in Dartmouth for March,2295.0,"19 Irishtown Road, Dartmouth, NS, B2Y 0B7",2024-02-28T20:45:15.000Z,about 21 hours ago,Apartment,2 + Den,1.0,"Heat,Water",Not Included,0,1 Year,Limited,843,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Bicycle Parking,Storage Space",Professional,theloftsatgreenvale.com
2 Bedroom + DEN Penthouse in Halifax for April,4195.0,"5450 Kaye Street, Halifax, NS, B3K 0G7",2024-02-28T20:45:15.000Z,about 21 hours ago,Apartment,2 + Den,2.0,"Heat,Water",Not Included,0,1 Year,No,"1,437",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space",Professional,www.stjosephssquare.com
2 Bedroom in Halifax for June,2395.0,"7037 Mumford Rd, Halifax, NS, B3L 2J1",2024-02-28T20:45:22.000Z,about 21 hours ago,Apartment,2,1.0,,Not Included,0,1 Year,Limited,936,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,Bicycle Parking,Storage Space",Professional,west22living.com
2 Bedroom in Halifax for June,2395.0,"7037 Mumford Rd, Halifax, NS, B3L 2J1",2024-02-28T20:45:22.000Z,about 21 hours ago,Apartment,2,1.0,,Not Included,0,1 Year,Limited,936,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,Bicycle Parking,Storage Space",Professional,west22living.com
2 Bedroom in Halifax for June,3695.0,"7037 Mumford Rd, Halifax, NS, B3L 2J1",2024-02-28T20:45:28.000Z,about 21 hours ago,Apartment,2,2.0,,Not Included,0,1 Year,Limited,"1,238",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space",Professional,west22living.com
2 Bedrooms + DEN in Halifax for June,4615.0,"7037 Mumford Rd, Halifax, NS, B3L 2J1",2024-02-28T20:45:33.000Z,about 21 hours ago,Apartment,2 + Den,3.0,,Not Included,0,1 Year,Limited,"1,668",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space",Professional,west22living.com
Bedford 2 Bedroom - 2 Bathroom plus Den Apartment for Rent:,2595.0,"200 Broad Street Bedford, Bedford, NS, B4B 0T4",2024-02-28T21:06:00.000Z,about 21 hours ago,Apartment,2,2.0,"Heat,Water",Not Included,0,1 Year,No,1,No,Dishwasher,Yes,,No,Elevator in Building,Professional,www.skylineliving.ca
EURO 2 BEDROOM 1 BATH,2600.0,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-02-28T21:52:34.000Z,about 20 hours ago,Apartment,2,1.0,,Not Included,1,Not Available,Yes,800,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Concierge,24 Hour Security,Elevator in Building",Professional,templetonproperties.rhenti.com
Beautiful 1 Bedroom Penthouse at The Vuze!,2450.0,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-02-28T21:52:34.000Z,about 20 hours ago,Apartment,1,1.0,,Not Included,1,Not Available,Yes,800,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Concierge,24 Hour Security,Elevator in Building",Professional,templetonproperties.rhenti.com
Beautiful Studio Apartment at The Vuze!,2100.0,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-02-28T21:52:34.000Z,about 20 hours ago,Apartment,Bachelor/Studio,1.0,,Not Included,1,Not Available,Yes,500,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Concierge,24 Hour Security,Elevator in Building",Professional,templetonproperties.rhenti.com
Beautiful 2 Bedroom at The Vuze!,2900.0,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-02-28T21:52:34.000Z,about 20 hours ago,Apartment,2,2.5,,Not Included,1,Not Available,Yes,800,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Concierge,24 Hour Security,Elevator in Building",Professional,templetonproperties.rhenti.com
"1 Bedroom Central Halifax-Heat,HW, Laundry, security-NO PARKING",1300.0,"5783 North St., Halifax, NS, B3K 1N6",2024-02-28T21:54:00.000Z,about 20 hours ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,No,1,No,"Laundry (In Building),Fridge / Freezer",No,,Outdoors only,"24 Hour Security,Bicycle Parking",Professional,
"BACHELOR/ STUDIO  UNIT AVAIL. MARCH 01, 2024",1425.0,"Halifax, NS B3H 4K2",2024-02-28T22:00:30.000Z,about 20 hours ago,Apartment,Bachelor/Studio,1.0,"Hydro,Heat,Water",Not Included,0,1 Year,No,400,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Yard,Yes,"Bicycle Parking,Storage Space,Elevator in Building",Professional,www.arcmanagement.ca
One bedroom apartment Oxford Street Halifax,1860.0,"Halifax, NS B3H 3Z6",2024-02-28T22:07:07.000Z,about 20 hours ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Yes,900,No,"Laundry (In Unit),Fridge / Freezer",No,Balcony,No,Bicycle Parking,Owner,
"Ford St-Heat,Hw incl. + Hardwood, 1 Parking-Balcony,Elevator",1595.0,"6 Ford St, Halifax, NS, B3M 2M6",2024-02-28T00:36:00.000Z,2 days ago,Apartment,2,1.0,"Heat,Water",Not Included,1,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Outdoors only,"Storage Space,Elevator in Building",Professional,
"April 01, 3 Bedroom and two bath apt for rent in Clayton Park.",2250.0,"Halifax, NS B3S 1K5",2024-02-28T00:39:45.000Z,2 days ago,Apartment,3,2.0,"Heat,Water",Not Included,1,1 Year,No,"1,550",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,Elevator in Building,Owner,
Rental Unit - Cunard Live/Work/Grow,1900.0,"Halifax, NS B3K 1C4",2024-02-28T01:00:33.000Z,2 days ago,Apartment,1,1.0,Water,Not Included,0,1 Year,No,555,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Bicycle Parking,Elevator in Building",Owner,
Rental Unit - Cunard Live/Work/Grow,3100.0,"5560 Cunard Street, Halifax, NS",2024-02-28T01:00:34.000Z,2 days ago,Apartment,2,2.0,Water,Not Included,0,1 Year,No,"1,045",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Bicycle Parking,Elevator in Building",Owner,
Renovated 2 Bedroom Near Young St Halifax Available Now,1949.0,"6416 London St, Halifax, NS B3L 1X4",2024-02-28T02:06:58.000Z,2 days ago,Apartment,2,1.0,,Not Included,0,1 Year,Limited,900,No,,No,,No,,Owner,
Fully furnished - One bedroom apartment ,1375.0,"Bayview Rd, Halifax, NS B3M",2024-02-28T02:14:36.000Z,2 days ago,Apartment,1,1.0,"Hydro,Heat,Water",,0,1 Year,No,600,Yes,,Yes,,No,,Owner,
2 Bedrooms + Den Basement Apartment Including Utilities,2350.0,"Dartmouth, NS B2W 4Z6",2024-02-28T04:53:23.000Z,2 days ago,House,2 + Den,1.0,"Heat,Water",Not Included,2,1 Year,Limited,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,Outdoors only,,Owner,
1 BEDROOM 1 BATHROOM FAIRVIEW APARTMENT EVERYTHING INCLUDED,1875.0,"Halifax, NS B3M",2024-02-28T11:10:16.000Z,a day ago,Apartment,1,1.0,"Hydro,Heat,Water",Not Included,1,1 Year,No,900,No,"Laundry (In Unit),Fridge / Freezer",No,,No,,Owner,
Beautiful Fully Renovated 4 Bedroom Apartment,3200.0,"Pine Grove Drive, Halifax, NS",2024-02-28T11:15:30.000Z,a day ago,Apartment,4,2.5,Water,Not Included,2,1 Year,Limited,"1,500",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,"Yard,Balcony",Outdoors only,,Owner,
"Beautiful, bright, newly renovated 3 bed basement unit",2500.0,"Pine Grove Drive, Halifax, NS",2024-02-28T11:30:32.000Z,a day ago,Basement,3,1.0,Water,Not Included,2,1 Year,Limited,850,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Yard,Outdoors only,,Owner,
Two Bedroom Suite with Balcony Available March 1st in Halifax,1500.0,"Halifax, NS B3P 1S9",2024-02-28T12:41:22.000Z,a day ago,Apartment,2,1.0,"Heat,Water",Not Included,1,1 Year,No,950,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,,Professional,
Southend 1-Bedroom unit All Utilities Included,1700.0,"Halifax, NS B3H 4K3",2024-02-28T12:45:28.000Z,a day ago,Apartment,1,1.0,"Hydro,Heat,Water",Not Included,0,1 Year,No,652,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,"Yard,Balcony",Yes,"Bicycle Parking,Storage Space,Elevator in Building",Professional,www.arcmanagement.ca
*pet friendly * One bedroom available from April,1860.0,"5651 Ogilvie Street, Halifax, NS",2024-02-28T12:54:23.000Z,a day ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Yes,500,No,Laundry (In Building),No,,Outdoors only,,Owner,
Available June 1st - Bachelor Apartment in Dartmouth,1295.0,"Dartmouth, NS B2Y 3B3",2024-02-28T13:28:15.000Z,a day ago,Apartment,Bachelor/Studio,1.0,"Hydro,Heat,Water",Not Included,0,1 Year,Limited,350,No,"Laundry (In Building),Fridge / Freezer",No,,Outdoors only,,Professional,
Avail May 1st - One Bedroom Apartment in Downtown Halifax,2495.0,"Halifax, NS B3J 2K8",2024-02-28T13:43:42.000Z,a day ago,Apartment,1,1.0,,Not Included,0,1 Year,No,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,Outdoors only,,Professional,
North End Two-Bedroom with In-Suite Laundry,2500.0,"5550 Bilby Street, Halifax, NS",2024-02-28T13:45:32.000Z,a day ago,Apartment,2,2.0,"Heat,Water",Not Included,0,1 Year,Limited,674,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"24 Hour Security,Bicycle Parking,Elevator in Building",Professional,www.rosnomanagement.ca
"Dartmouth 1 Bedroom Apartment for Rent - 1, 6, 7, 10 Crystal Dri",1741.0,"10 Crystal Drive, Dartmouth, NS, B3A 4G6",2024-02-27T05:14:28.000Z,3 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Yes,607,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Professional,www.metcap.com
"Dartmouth Bachelor Apartment for Rent - 1, 6, 7, 10 Crystal Driv",1646.0,"10 Crystal Drive, Dartmouth, NS, B3A 4G6",2024-02-27T05:14:36.000Z,3 days ago,Apartment,Bachelor/Studio,1.0,"Heat,Water",Not Included,0,1 Year,Yes,700,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Professional,www.metcap.com
Basement unit - 1 Bedroom+ 1 Den + Dinning + Spacious Bath ,2100.0,"Birchdale Ave, Dartmouth, NS B2X",2024-02-27T05:15:16.000Z,3 days ago,Basement,1 + Den,1.0,,Not Included,1,1 Year,No,900,No,,No,,Outdoors only,,Owner,
"Dartmouth Bachelor Apartment for Rent - 36, 60, 65 Primrose Stre",1699.0,"65 Primrose Street, Dartmouth, NS, B3A 4C5",2024-02-27T05:35:07.000Z,3 days ago,Apartment,Bachelor/Studio,1.0,"Heat,Water",Not Included,0,1 Year,Yes,429,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,,Professional,www.metcap.com
1 Bedroom Apartment for Rent - 40 Bedros Lane,2240.0,"40 Bedros Lane, Bedford, NS, B3M 4X1",2024-02-27T05:35:31.000Z,3 days ago,Apartment,1,1.0,,Not Included,0,1 Year,No,650,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.metcap.com
2 Bedroom Apartment for Rent - 40 Bedros Lane,2569.0,"40 Bedros Lane, Bedford, NS, B3M 4X1",2024-02-27T05:35:38.000Z,3 days ago,Apartment,2,2.0,,Not Included,0,1 Year,No,"1,161",No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.metcap.com
"Beautiful Views from New 1 Bedroom - Utilities, parking incl.",2200.0,"Fall River, NS B2T 1J1",2024-02-27T06:56:47.000Z,2 days ago,Apartment,1,1.0,"Hydro,Heat,Water",,2,1 Year,No,861,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Storage Space,Owner,
FULLY FURNISHED 2 Bedroom - Short Term Rental Apartment,3000.0,"1000 Larry Uteck Boulevard, Bedford, NS, B4B 1H6",2024-02-27T12:36:00.000Z,2 days ago,Apartment,2,2.0,"Hydro,Water",Not Included,1,Not Available,No,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,,Professional,homekeyrentals.rhenti.com
"1 BEDROOM CLOSE TO ALL AMENITIES, INCLUDES HEAT AND HOT WATER",1800.0,"Arkle Lane, Lower Sackville, NS",2024-02-27T13:08:50.000Z,2 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Limited,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,
"2 BEDROOM INCLUDES HEAT, HOT WATER, BALCONY + 1 PARKING",1700.0,"Old Sackville Road, Lower Sackville, NS",2024-02-27T13:11:43.000Z,2 days ago,Apartment,2,1.0,"Heat,Water",Not Included,1,1 Year,Limited,1,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,,Owner,
"LUXURY 2 BEDROOM INCLUDES 6 APPLIANCES, HEAT AND HOT WATER",2175.0,"Arkle Lane, Lower Sackville, NS",2024-02-27T13:14:34.000Z,2 days ago,Apartment,2 + Den,2.0,"Heat,Water",Not Included,0,1 Year,Limited,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,
Bachelor Apartment in Dartmouth,1500.0,"Dartmouth, NS B3A 1A7",2024-02-27T15:10:41.000Z,2 days ago,Apartment,Bachelor/Studio,1.0,"Hydro,Heat,Water",,1,1 Year,Limited,350,No,"Laundry (In Building),Fridge / Freezer",No,Yard,Outdoors only,,Owner,
2 McIntosh St - 2 Bedroom Apartment - Spryfield -$2050 - March 1,2050.0,"2 McIntosh St, Halifax, NS, B3R 1G8",2024-02-27T15:57:59.000Z,2 days ago,Apartment,2,1.0,"Heat,Water",Not Included,0,1 Year,Yes,500,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Yard,No,,Professional,
432 Herring Cove Road - Brand New 1 Bedroom Apartment - $1699,1699.0,"432 Herring Cove Road, Halifax, NS, B3R 1W4",2024-02-27T15:58:05.000Z,2 days ago,Apartment,1,1.0,Water,Not Included,0,1 Year,Yes,400,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Yard,No,"24 Hour Security,Bicycle Parking,Storage Space",Professional,
1131 Wellington St - 3 Bedroom apartment - May 1 2024,4050.0,"1131 Wellington St, Halifax, NS, B3H 3A1",2024-02-27T16:02:50.000Z,2 days ago,Apartment,3,1.0,Water,Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,Bicycle Parking,Professional,
Dartmouth Basement Rental,1600.0,"Dartmouth, Nova Scotia B2W 1T2",2024-02-26T16:57:59.000Z,3 days ago,Basement,1 + Den,1.0,"Hydro,Heat,Water",,1,Month-to-month,Limited,"1,075",No,Laundry (In Unit),No,"Yard,Balcony",Outdoors only,,Owner,
Great 2 Bedroom on Quiet Street Available May Close to Dal,2400.0,"6334 Cornwall St, Halifax, NS B3H 2J1",2024-02-26T17:15:52.000Z,3 days ago,Duplex/Triplex,2,1.0,Water,Not Included,0,1 Year,No,600,No,"Laundry (In Unit),Dishwasher",Yes,,No,,Owner,
"Dartmouth 1 Bedroom Apartment for Rent - 15, 25, 35 Leaman Drive",1829.0,"35 Leaman Drive, Dartmouth, NS, B3A 2K6",2024-02-26T17:43:05.000Z,3 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Yes,722,No,Laundry (In Building),No,,No,"Pool,Elevator in Building",Professional,www.metcap.com
"2 BEDROOM INCLUDES 6 APPLIANCES, HEAT, HOT WATER AND 1 PARKING",2175.0,"Arkle Lane, Lower Sackville, NS",2024-02-26T17:43:36.000Z,3 days ago,Apartment,2 + Den,2.0,"Heat,Water",Not Included,0,1 Year,Limited,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,
2 Bedroom Apartment for Rent - 200 Willet Street,2461.0,"200 Willet Street, Halifax, NS, B3M 3C5",2024-02-26T17:46:31.000Z,3 days ago,Apartment,2,1.0,,Not Included,0,1 Year,No,981,No,Laundry (In Building),No,,No,,Professional,www.metcap.com
1 Bedroom Apartment for Rent - 200 Willet Street,2018.0,"200 Willet Street, Halifax, NS, B3M 3C5",2024-02-26T17:46:36.000Z,3 days ago,Apartment,1,1.0,,Not Included,0,1 Year,No,747,No,Laundry (In Building),No,,No,,Professional,www.metcap.com
"2 Bedroom Apartment for Rent - 211, 221 Glenforest Drive",2649.0,"221 Glenforest Drive, Halifax, NS, B3M 1J3",2024-02-26T17:47:02.000Z,3 days ago,Apartment,2,1.0,,Not Included,0,1 Year,Yes,Not Available,No,Laundry (In Unit),No,,No,,Professional,www.metcap.com
2 Bedroom Apartment for Rent - 22 BEDROS LANE,2522.0,"22 BEDROS LANE, Bedford, NS, B3M 4W9",2024-02-26T18:04:39.000Z,3 days ago,Apartment,2,2.0,,Not Included,0,1 Year,No,"1,154",No,"Laundry (In Building),Fridge / Freezer",No,,No,"Gym,Elevator in Building",Professional,www.metcap.com
"Beautiful, Upscale 2 bed in highly desirable The James June 1st",2595.0,"5620 South Street, Halifax, NS, B3J 0A7",2024-02-26T18:24:01.000Z,3 days ago,Apartment,2,1.0,Water,Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,24 Hour Security,Bicycle Parking,Elevator in Building",Professional,www.olympusproperties.ca
1 bedroom apartment dog friendly in Clayton park,1850.0,"179 Lacewood Dr, Halifax, NS B3M 2N9",2024-02-26T18:41:45.000Z,3 days ago,Apartment,1,1.0,"Heat,Water",Not Included,1,1 Year,Yes,750,No,Laundry (In Building),No,Yard,Outdoors only,Bicycle Parking,Owner,
1 Bedroom City Scape Downtown Halifax,,"1715 Lower Water St, Halifax, NS, B3L 0J4",2024-02-26T18:48:01.000Z,3 days ago,Apartment,1,1.0,,Not Included,0,1 Year,Yes,Not Available,No,,No,,No,,Professional,
1 Bedroom City Scape Downtown Halifax,,"1715 Lower Water St, Halifax, NS, B3L 0J4",2024-02-26T18:48:01.000Z,3 days ago,Apartment,1,1.0,,Not Included,0,1 Year,Yes,Not Available,No,,No,,No,,Professional,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cozy 1 Bedroom 1 Bathroom Unit for Rent (APRIL 1ST MOVE IN),1550.0,"Waterloo Street, Halifax, NS",2024-02-26T19:02:41.000Z,3 days ago,Apartment,1,1.0,"Heat,Water",,1,1 Year,Yes,700,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Yard,No,,Owner,
Northend 1 bedroom + office,1700.0,"Duffus St, Halifax, B3K 2M6",2024-02-26T19:29:08.000Z,3 days ago,Apartment,1 + Den,1.0,Heat,Not Included,0,1 Year,Limited,600,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Owner,
