Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description
1 bedroom in a 5 bedroom apartment.,930,"Seymour Street, Halifax, NS",2024-03-06T20:55:04.000Z,about 5 hours ago,Apartment,1,2,"Hydro,Heat,Water",,0,Month-to-month,No,"1,200",Yes,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,"Gym,Bicycle Parking,Elevator in Building",Owner,,I am subletting by bedroom in my 5 bedroom apartment this summer. The other 4 bedrooms will be occupied. Looking for a university student that will be staying here this summer. Laundry is included in the building but must be paid for. There are 2 bathrooms in the apartment that are shared by the 5 people. Let me know if there are any further question!
Available June 1 - Two Bedroom Apartment in South End Halifax,2200,"Halifax, NS B3H 1M9",2024-03-06T20:56:50.000Z,about 5 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Limited,"1,000",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,,Professional,,"Available June 1st - Two Bedroom / Two Level apartment unit,Located in south end of Halifax, this unit is near all amenities and transit routes.,Message us today to book a viewing before its gone!,Rent = $2,200 monthly
Includes: Heat, Water, Hot Water
Small Deck,- Coin laundry in building
*Tenant pays for power
**Parking is extra at $150 monthly (if available)
***Cat friendly"
Fully furnished - One bedroom apartment ,1375,"Bayview Rd, Halifax, NS B3M",2024-03-06T21:12:46.000Z,about 5 hours ago,Apartment,1,1,,Not Included,0,1 Year,No,600,Yes,,Yes,,No,,Owner,,"***If the ad is up, it’s still available***
Can be a short term lease as well,This apartment was fully renovated in 2021. It is modern, cottage style and comes fully equipped.
What you’d love about this apartment:
- proximity
- bright room with lots of natural light
- modern lighting fixtures
- quiet and spacious backyard overlooking a water stream
- digital keyless entry
- noise proof doors and windows
- no pets allowed
Utilities (heat, water, electricity and high speed internet) - additional $200
The space
- Cottage style concept overlooking lush green backyard
- Brand new hot plate, grill and fully equipped kitchenette (no full stove)
Bedroom
- Queen sized bed
- Big closet space and accent chair
Tenant provides own bedding and towels,If your interested in a showing, then please answer the questions below:
1. Reason for moving
2. Do you have kids?
3. Are you clean? Smoke?
4. How many people?
5. Do you want a long-term or short-term rental lease term?
6. Are you working or university or both?"
"Two Bedroom Available at 150 Solutions Drive April 1st, 2024!",2025,"150 Solutions Drive, Halifax, NS, B3S 0E5",2024-03-06T21:24:00.000Z,about 5 hours ago,Apartment,2,1.5,Heat,Not Included,1,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Storage Space,Elevator in Building",Professional,www.mosaikproperties.ca,"A beautiful 2 Bedroom apartment in Yorkdale, just minutes away from Bayers Lake Park amenities, will be available starting April 1st, 2024.,Rent for unit is $2100.00 covers heat, hot water, and 1 underground parking spot.,Apartment highlights include granite countertops, laminate and tile flooring, along with six appliances. Building amenities comprise 2 elevators, a fitness room, underground parking, and an onsite Resident Manager.,For further details or to schedule a viewing, please contact Greg at 902-802-3106."
"Large Two-Bedroom Plus Den at Litchfield for May 1st, 2024!",2400,"137 Solutions Drive, Halifax, NS, B3S 0G5",2024-03-06T21:42:00.000Z,about 5 hours ago,Apartment,2 + Den,2,"Heat,Water",Not Included,1,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Storage Space,Elevator in Building",Professional,mosaikproperties.ca,"A stunning 2-bedroom plus den suite will soon be available starting May 1st, 2024, at The Litchfield, an upscale apartment complex conveniently located just minutes away from the attractions of Bayers Lake Park.,Rent for this exquisite suite is $2400.00 per month, inclusive of heat, hot water, and one designated underground parking spot. The suite boasts elegant granite countertops, stylish laminate and tile flooring, and comes equipped with six appliances.,Among the building's amenities are two elevators, a well-appointed fitness room, secure underground parking, and the convenience of an on-site Resident Manager.,For further details or to schedule a viewing, please reach out to Paul at (902) 818-0289."
Beautiful 1 Bedroom Penthouse at The Vuze!,2450,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-03-06T21:52:21.000Z,about 5 hours ago,Apartment,1,1,,Not Included,1,Not Available,Yes,800,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Concierge,24 Hour Security,Elevator in Building",Professional,templetonproperties.rhenti.com,"Welcome to The Vüze, your gateway to the vibrant heartbeat of South End Halifax! Nestled in the heart of this dynamic neighborhood, The Vüze promises a lifestyle that's all about convenience, excitement, and modern living.,Situated strategically, our residence places you within arm's reach of renowned universities, ensuring your academic journey is just moments away. Hospitals, recreation centers, and bustling businesses are all part of your daily landscape, making every aspect of your life effortlessly accessible.,At The Vüze, it's not just about a home; it's about embracing a thriving community. Imagine strolling to nearby universities for classes, enjoying the latest in healthcare advancements, and finding your favorite spots for recreation and relaxation—all within reach.,Whether you're a student seeking a stress-free commute or a young professional looking for the perfect work-life balance, The Vüze is your ideal sanctuary. We've curated a space where the city's pulse meets the tranquility of your home.,Join us at The Vüze, where living in the heart of South End Halifax is not just a choice; it's a lifestyle. Contact us today to embark on a journey where every convenience is at your doorstep, and every day is filled with the excitement of urban living!"
Beautiful Studio Apartment at The Vuze!,2100,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-03-06T21:52:21.000Z,about 5 hours ago,Apartment,Bachelor/Studio,1,,Not Included,1,Not Available,Yes,500,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Concierge,24 Hour Security,Elevator in Building",Professional,templetonproperties.rhenti.com,"Welcome to The Vüze, your gateway to the vibrant heartbeat of South End Halifax! Nestled in the heart of this dynamic neighborhood, The Vüze promises a lifestyle that's all about convenience, excitement, and modern living.,Situated strategically, our residence places you within arm's reach of renowned universities, ensuring your academic journey is just moments away. Hospitals, recreation centers, and bustling businesses are all part of your daily landscape, making every aspect of your life effortlessly accessible.,At The Vüze, it's not just about a home; it's about embracing a thriving community. Imagine strolling to nearby universities for classes, enjoying the latest in healthcare advancements, and finding your favorite spots for recreation and relaxation—all within reach.,Whether you're a student seeking a stress-free commute or a young professional looking for the perfect work-life balance, The Vüze is your ideal sanctuary. We've curated a space where the city's pulse meets the tranquility of your home.,Join us at The Vüze, where living in the heart of South End Halifax is not just a choice; it's a lifestyle. Contact us today to embark on a journey where every convenience is at your doorstep, and every day is filled with the excitement of urban living!"
Cedar Court | 2 Bedroom Apartment,1800,"1109 Cole Harbour Road, Dartmouth, NS, B2V 1E8",2024-03-06T14:01:49.000Z,about 12 hours ago,Apartment,2,1,,Not Included,1,1 Year,No,Not Available,No,Laundry (In Building),No,,No,,Professional,www.elkproperty.com,". Large two bedroom units,. On site Superintendent,. Secure entrance,. Parking included,. Full size Fridge Stove,. Central laundry facilities in the building,. Walking distance to schools, shopping and recreation facilities,. City bus stops in front of the building,(Please Note: Electricity, heat and hot water extra)"
91 Nelson's Landing | 2 Bedroom,2300,"91 Nelson's Landing, Bedford, NS, B4A 3X4",2024-03-06T14:01:49.000Z,about 12 hours ago,Apartment,2,2,,Not Included,1,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher",No,Balcony,No,"Gym,Pool,Elevator in Building",Professional,www.elkproperty.com,
2 Bedrooms Apartment for Rent - 9 - 54 Paige Plaza,2095,"54 Paige Plaza, Lower Sackville, NS, B4E 0J6",2024-03-06T14:09:45.000Z,about 12 hours ago,Apartment,2,1,,Not Included,0,1 Year,Yes,928,No,,No,,No,Storage Space,Professional,www.metcap.com,"View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing."
"2 Bedroom, 2 Level Apartment at 100 Camelot Lane",1800,"100 Camelot lane, Halifax, NS, B3M 3Y4",2024-03-06T14:34:10.000Z,about 12 hours ago,Apartment,2,1,"Heat,Water",Not Included,1,1 Year,Limited,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,,Professional,www.mosaikproperties.ca,
"Downtown Halifax Retreat: 2 Bed, 1 Bath Apartment with Balcony!",2100,"1619 Market Street, Halifax, NS, B3J 1K8",2024-03-06T14:34:14.000Z,about 12 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Limited,884,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Professional,,"Nestled in the vibrant Entertainment District of downtown Halifax, this superb residence offers unparalleled convenience. Situated directly opposite the Nova Center, it boasts proximity to an array of restaurants, bars, the Scotiabank Center, and more.,The Dillon provides swift transit access to Saint Mary's University and Dalhousie University, making it an optimal choice for students and downtown professionals alike.,Rent for this unit is $2100.00 and includes heat and water. Additionally, the suites feature air conditioning, though it is not included in the rent.,Please note that this property does not offer parking, maintains a smoke-free environment, and does not permit dogs.,For further details or to schedule a viewing, kindly reach out to Fabio at 902-580-1322.,Visit www.mosaikproperties.ca for more information."
Spacious Two Bedroom Plus Den at Yorkdale,2300,"150 Solutions Drive, Halifax, NS, B3S 0E5",2024-03-06T14:34:18.000Z,about 12 hours ago,Apartment,2,1.5,"Heat,Water",Not Included,1,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Storage Space,Elevator in Building",Professional,www.mosaikproperties.ca,"Discover the epitome of luxury living in Yorkdale, just moments away from the vibrant amenities of Bayers Lake Park.,This two-bedroom plus den suite boasts exquisite features including granite countertops, laminate and tile flooring, and a suite of six appliances.,Experience the utmost convenience with building amenities such as two elevators, a well-equipped fitness room, underground parking, and attentive onsite management.,Rent for this exceptional unit is $2300.00 and includes heat, hot water, a storage room, and one underground parking spot.,Please note that this property maintains a smoke-free environment, and does not permit dogs.,For more details or to schedule a viewing, please call Greg at (902) 802-3106.,Visit www.mosaikproperties.ca for additional information."
BEAUTIFUL 1 BEDROOM IN DARTMOUTH!,1295,"50 Roleika Dr., Dartmouth, NS, B2X 1M4",2024-03-06T14:42:01.000Z,about 12 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,,No,,No,Elevator in Building,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth 1 BR- Apartment from $1295.00 per month (includes Heat and Water!),Parking Available Onsite @ $25/month"
24-024 Conveniently located Dartmouth apartment,1950,"Paul David Court, Dartmouth, NS, B2X 2Y8",2024-03-06T14:42:01.000Z,about 12 hours ago,Apartment,3,1,Water,Not Included,2,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Yard,No,,Professional,www.halifaxqualityhomes.com,
Bright and Spacious 2 Bed 1 Bath Dutch Village Rd $1995 || APRIL,1995,"Dutch Village Road, Halifax, NS",2024-03-06T14:47:49.000Z,about 12 hours ago,Apartment,2,1,Water,Not Included,0,1 Year,Limited,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,Elevator in Building,Owner,,"Welcome to our spacious and bright 2-bedroom suite conveniently located on Dutch Village Rd (3644 Dutch Village Rd).,1 Unit for April
1 Unit for June,This unit features modern like new appliances, modern vanity, beautiful wall tiling in showing, ceiling fans throughout with modern slow-closing cabinet doors. Bright pot lighting throughout and quartz counter-tops have this suite feeling elegant. Feel free to google the area to see the many amenities offered nearby! Free street parking nearby. Paid parking available as well.,We are seeking a respectful and mature person(s) for this suite.,Avail: APRIL and 1 AVAIL JUNE,PET POLICY - Cats Only,We have a 1 Bed Avail for August for $1695 as well.,This cozy 2 bedroom suite includes the following:
Water
Washer/Dryer
Fridge/Freezer
Microwave
Dishwasher
Oven/Stove,Amenities close by:
•	Atlantic Superstore
•	Halifax Shopping Centre
•	Bayers Lake Business Park
•	Highway 102
•	3+ Grocery stores
•	5+ coffee shops/cafes
•	Several schools
•	All types of restaurants,Tenant Covers:
•	Power
•	Heat
•	WiFi/Cable
•	Tenant Insurance
•	Parking $99.00,Answer the following questions in your email to luke@unitedgulf.ca:
1) Number of Occupants?
2) Any pets?
3) Do you require paid parking – how
many vehicles?
4) Where do occupants work and for how long?
5) What month do you need"
BEAUTIFUL 1 BEDROOM IN DARTMOUTH!,1295,"50 Roleika Dr., Dartmouth, NS, B2X 1M4",2024-03-06T14:48:00.000Z,about 12 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,,No,,No,Elevator in Building,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth 1 BR- Apartment from $1295.00 per month (includes Heat and Water!),Parking Available Onsite @ $25/month"
BEAUTIFUL 2+1 BED APT RENTAL AVAILABLE IN DARTMOUTH,1540,"14 Churchill Court, Dartmouth, NS, B2X 1N4",2024-03-06T14:48:01.000Z,about 12 hours ago,Apartment,3,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,Elevator in Building,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth 2+1 BR- Apartment from$1540.00 per month(includes Heat and Water!),Parking Available Onsite @ $25/month,Please contact our on-site Property Manager for more information and to set up a viewing at:(902) 462-3544, or (902) 830-4851,*Pictures may not show exact units"
BEAUTIFUL 2 BEDROOM ON CHURCHILL CRESCENT IN DARTMOUTH!,1495,"14 Churchill Court, Dartmouth, NS, B2X 1N4",2024-03-06T14:48:01.000Z,about 12 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Yes,Not Available,No,Laundry (In Building),No,,No,,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth (14 Churchill Cr.) 2 BR- Apartment from $1,495.00 per month (includes Heat and Water!),Parking Available Onsite @ $25/month,Please contact our on-site Property Manager for more information and to set up a viewing at: (902) 462-3544 or at pinegreenpm@macdane.com or marketing@macdane.com"
2 bedroom. Avail. May 1st. $2275/month (Utils incld),,"Auburn Ave, Halifax, B3K 1R4",2024-03-06T15:04:05.000Z,about 11 hours ago,House,2,1,,Not Included,0,1 Year,Limited,"1,200",No,,No,,No,,Owner,,"This 2 bedroom, 1 bathroom flat has a large master bedroom with walk-in closet, good sized 2nd bedroom, finished loft (great for storage, office or playroom) and access to the backyard. Hardwood floors throughout.
The unit includes:
Stove
OTR microwave
Dishwasher
All utilities (power, heat, water)
Shared laundry
Shared parking.
No internet.
Convenient location in Spryfield close to the Elizabeth Sutherland Elementary School, wave pool, library, grocery, pharmacy, NSLC and hardware stores. 5 min walk to bus stop (9A and 9B)
Available May 1st. Fixed term lease.
Non smoking.
Tenant Insurance required.
One cat allowed. Sorry no dogs.
Tenant responsible for lawn maintenance and snow removal.
If interested please respond to ad with an introduction of yourself, your employment details, your rental history, number of occupants and cars.
"
TWO BEDROOM APARTMENT IN BRAND NEW BUILDING STEPS FROM DOWNTOWN!,3099,"5726 Inglis St, Halifax, NS, B3H 1K4",2024-03-06T15:19:44.000Z,about 11 hours ago,Apartment,2,2.5,"Heat,Water",Not Included,0,1 Year,Yes,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,,Professional,www.northpointhfx.com,"AVAILABLE MAY 1ST!!!,2 BEDROOM!!!,PET FRIENDLY!!!,VIRTUAL TOUR: https://my.matterport.com/show/?m=3LgFP8ZLQUE,This brand new building sets the standard for boutique living in Halifax. Located only steps away from Saint Marys University, Point Pleasant Park and Downtown Halifax, 5726 Inglis Street offers its residents the opportunity to live in the centre of it all.,Available May 1st, this large, top floor two bedroom suite features two large bedrooms each with their own private en-suite, a separate guest washroom, slate appliances, plenty of storage space and large bright windows.,Rent is $3,099 per month including heat, water and air conditioning.,For more information and to schedule a in person viewing, please call 902 492 1941 or visit us at www.northpointhfx.com.,***Photos and Virtual Tour are of the acutal apartment***"
BRAND NEW ONE BEDROOM! BALCONY! NORTH END HFX! AVAILABLE NOW!!!,1799,"6140 Lady Hammond Road, Halifax, NS, B3K 2R5",2024-03-06T15:19:44.000Z,about 11 hours ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,600,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Professional,www.northpointhfx.com,
