title,address,price,bedrooms,bathrooms,pets,description,available_date,extraction_date
"Rented~ Heather St, Halifax Beautifully Renovated 3 Bedroom Upper 2 Level Unit in Triplex!","9 Heather Street, Halifax, NS, Canada",,3,1,Limited,"Welcome to 9B Heather St, Halifax! Rent is $2,175 /month + Utilities Available for Rent Now! This gorgeously renovated upper level triplex is available to be rented. Features Include: Beautiful kitchen with stainless steel appliances In suite laundry Hardwood floors 3 Bedrooms 1 Bathroom Heat Pump Backyard Space  Water Included We are considering pets on a case by case basis!  Conveniently located near amenities and McIntosh run trails and Long Lake Provincial park Please send an email to rent@happyplacepm.com to request a viewing and an application. Professionally managed by www.happyplacepm.com",Immediately,2024-03-17
132 Old Beaverbank Road – 2 BR + 2 DEN LR SACKVILLE HOME AVAILABLE MARCH 1ST!,"132 Old Beaver Bank Road, Lower Sackville, NS, Canada","$2,195",2,2,Limited,"Welcome to Old Beaverbank Road! This charming rental is conveniently located less than a 5 minutes’ walk away from all amenities such as grocery stores, drug stores, restaurants, major bus routes and more! The space boasts 2 bedrooms, 2 dens in the basement, in suite laundry and a sunny deck area with backyard. There is 1 parking space included. Rent is $2195 + utilities. Professionally managed by Happy Place Property Management. Please email rent@happyplacepm.com for an application and viewing.      ",March 1st,2024-03-17
6050 Willow Street – NORTH END GROUND LEVEL ROWHOUSE FURNISHED MONTHLY RENTAL AVAILABLE NOW!,"6050 Willow Street, Halifax, NS, Canada","$2,350",2,1,Limited,"Welcome to 6050 Willow Street! This charming rental is located right in the heart of Halifax’ coveted North End! We are steps away from boutique shopping, cafes, major drug and grocery stores, breweries and more! There is 1 parking space included around back. Moving is made simple with all utilities and furnishings included. We are offering a 6 month fixed term lease with 30 days notice to quit, meaning you can rent on a monthly basis from now until April. Pets will be considered on a case basis. Please reach out to rent@happyplacepm.com or text 902-220-5666 to set up a viewing today!",Immediately,2024-03-17
2326 Agricola – CHARMING NORTH END 1 BR 1 BATH APARTMENT,"2326 Agricola St, Halifax, NS B3K 4B6, Canada","$1,793",1,1,Limited,"Welcome to Agricola Street! This trendy, newly updated apartment is available for rent now! This location can’t be beat, you’re less than a 5 minute drive (or 20 minute walk) from Halifax’s downtown core, and steps away from North End favourites such as Hali Deli, Bar Kismet. This space is apart of an 8 unit complex but has its own civic address and entrance. This suite is located on the lower level and comes with stainless steel kitchen appliances and in suite laundry. We are considering pets on a case by case basis. Please email rent@happyplacepm.com for more details.",Immediately,2024-03-17
"3248 Veith Street – Charming 1 Bed, 1 Bath North End Unit Available Now!","3248 Veith Street, Halifax, NS, Canada","$1,450",1,1,Limited,"Welcome to 3248 Veith Street! This charming unit is located on the bottom floor of a 2 unit duplex on quiet, quaint Veith Street in the coveted North End of Halifax! The location can’t be beat as you are located on a quiet residential street just a 10 minute walk from Halifax’ downtown core, and steps away from all the great food and amenities the North End has to offer, as well as close to major bus routes. The space boasts 1 bedroom, 1 bathroom and has shared laundry on the same floor. Rent is $1450 + utilities. Please email rent@happyplacepm.com for an application & viewing time!",Immediately,2024-03-17
"Basinview Drive, Bedford – 3BD/2.5BA – Beautiful Family Home Available Now!","112 Basinview Dr, Bedford, NS B4A 3M8, Canada","$2,350",3,2.5,No,"Basinview Drive, Bedford – 3BD/2.5BA – Beautiful Family Home with Attached Garage Features Include: Beautiful Brick Semi Detached Home 4 Levels of Living Space 5 appliances 3 Bedrooms Master Bedroom has a loft with en-suite bathroom Bonus room on Entry level 2.5 Bathrooms Paved Driveway Single Car Garage Deck for entertaining Pet Friendly.  Sorry no dog. Centrally Located in beautiful Bedford Close to shopping, restaurants and amenities & bus route Close to great schools (École Beaubassin, Basinview Drive Community School, Bedford Academy) Professionally managed by www.happyplacepm.com Rent is $2350 a Month + Utilities (NS Power + Halifax Water)  ",January 15th,2024-03-17
"3 1/2 Silvers Road, Dartmouth – BRIGHT AND SPACIOUS DARTMOUTH RENTAL AVAILABLE MARCH 1ST!","Silvers Road, Dartmouth, NS, Canada","$2,300",3,1,Limited,"New Listing Available March 1st Rent is $2300 + NS Power (Water is included) 3 1/2 silvers Rd, Dartmouth – Entrance off Dunolly St. Driveway Features Include: 3 bedroom 1 bathroom with laundry in unit Fridge, stove, dishwasher, washer, dryer. Electric baseboard heat with heat pump in livingroom, electric water heater. Second story balcony. Finished attic space for storage (not heated) Parking for two vehicles Pets considered on a case by case basis Email rent@happyplacepm.com to set up a viewing and receive a rental application.",March 1st,2024-03-17
306-176 Rutledge Street – STUNNING 2 BR BEDFORD CONDO AVAILALBE MAY 1ST,"176 Rutledge Street, Bedford, NS, Canada","$2,250",2,1,Limited,"Welcome to 176 Rutledge Street! This stunning 2 BR condo is located in coveted Bedford located just a half an hour’s drive from downtown Halifax. This condo is conveniently located near major amenities and restaurants. This spacious unit features 2 bedrooms, 1 bathroom, in suite laundry, underground parking and a balcony! Rent is $2250 + electricity. Please email rent@happyplacepm.com or text 902-220-5666 to set up a viewing today!",May 1st,2024-03-17
SOUTH END Home: Fully Furnished 3 Bedroom + 1 Bath Available JUNE 1st,"5930 Pine Hill Drive, Halifax, NS, Canada",,3,1,No,"5930 Pine Hill Drive, Halifax! This gorgeous 3 bed 1 bath South End home comes fully furnished with thoughtful touches throughout. Location can’t be beat, this home is nestled on a quiet residential street in  a coveted area within a short distance of the universities, grocery stores and other major amenities. The monthly rent is $3,250.00 + utilities Utilities are Oil Heat, Nova Scotia Power and Halifax Water Please email rent@happyplacepm.com for an application! Professionally managed by Happy Place Property Management www.happyplacepm.com",June 1st,2024-03-17
202-178 Rutledge St – BEDFORD 2 BR CONDO AVAILABLE NOVEMBER 15 NEWLY RENOVATED!,"178 Rutledge Street, Bedford, NS, Canada",,2,1,Limited,"Welcome to 202-178 Rutledge Street! Rent is $1950+Power This condo is located in the heart of Bedford! Conveniently located near public transit, shopping centres, and a playground! This property is a 25 minute drive from Downtown Halifax and 21 minutes from Downtown Dartmouth. This space has been freshly painted and is ready for tenants as of November 15th. The condo features 2 beds and 1 bath. Professionally managed by Happy Place Property Management. www.happyplacepm.com    ",November 15th,2024-03-17
"Flying Cloud Drive, Dartmouth  3 Bed/2 Bath Townhouse with Fenced In Yard and Shed","220 Flying Cloud Dr, Dartmouth, NS B2W 4T6, Canada",,3,2,Cats,"March 1st – DARTMOUTH 3 BEDROOM 2 BATH TOWNHOUSE! Features Include: A spacious eat in kitchen/dining combo with a pantry, good size living room are on the main level. Upper level has three bedrooms and a 4 piece bathroom. Lower level has family room, laundry and a new 3 piece bathroom. Storage within closets throughout basement. Close to all amenities, Cole Harbour Place, Shopping, etc. Close to trails and Cranberry Lake. Located On a bus route. Back Deck Beautiful Fenced In Back Yard Shed for Storage Rent is $1900 Plus Utilities (NS Power, Halifax Water + Oil Heat) 1 Year Lease Required Please send an email to arrange a viewing time.",March 1st,2024-03-17
482 Three Fathom Harbour – FULLY FURNISHED EASTERN SHORE MINI HOME RENTAL,"Three Fathom Harbour, NS, Canada",,2,1,Limited,"Welcome to Three Fathom Harbour! This home is the perfect space for those looking for peace & tranquility. Located about 40 minutes from Downtown Halifax nestled along the Eastern Shore. This home is only a 5 minutes’ drive from Lawrencetown Beach Provincial Park. The home is a 2 bedroom + den and comes furnished with basic furniture and kitchen setup.  It has heat-pump for heating & cooling and electric baseboards. Home is on a well and septic, so no water bill! Heat, lights & wifi will be the responsibility of the tenant. There is a shed on site for tenant use. Please note: The tenants are responsible for lawn cutting (mower on site) and snow removal. Listed as a 2 bedroom with den/office. Rent is $2050 + utilities. Available November 1st, 2023. Please email rent@happyplacepm.com for an application & viewing time. Professionally Managed by Happy Place Property Management",Rented,2024-03-17
"Rented~88 Reflection Lane, Musquodoboit Hbr – GORGEOUS 2 BED 2 BATH HOME AVAILABLE NOW!","88 Reflection Lane, Musquodoboit Harbour, NS, Canada",,2,2,,"Welcome to 88 Reflection Lane! This beautiful 2 bedroom, 2 bathroom home is available now! Reflection Lane is tucked away in beautiful Musquodoboit Harbour, just under an hour from Halifax, in the coveted Eastern Shore. This property comes with a heatpump for max efficiency and is on a well and septic system. The primary bedroom comes with a large en suite and walk in closet. The rent is $2200 + utilities. Please email rent@happyplacepm.com or text 902-220-5666 for an application and viewing time!","January 1st, 2024",2024-03-17
56 Chadwick St – 3 BR DARTMOUTH APARTMENT AVAILABLE MARCH 1ST!,"56 Chadwick Street, Dartmouth, NS, Canada",,3,1,Limited,"⭐️ 56 Chadwick St, Dartmouth ⭐️ Top Floor Apartment ✔️Large 3 Bedroom Unit ✔️Kitchen with beautiful butcher block countertop ✔️In Suite Laundry ✔️Conveniently located near NSCC Waterfront Campus and Dartmouth General Hospital, Woodside Ferry ✔️Professionally managed by www.happyplacepm.com #happyplaceforrent #dartmouthns #halifaxrealestate #petfriendly",March 1st,2024-03-17
2315 Clifton – 2 BR 1 BATH FULLY FURNISHED NORTH END FLAT WITH PARKING,"2315 Clifton Street, Halifax, NS, Canada",,2,1,,"Welcome to Clifton Street! Available on a monthly basis. Flexible lease terms available. This charming unit is steps away from major amenities including restaurants, boutiques and major bus routes. You are a 5 minutes walk from the Halifax Commons and about 15 minutes from the Downtown Core. This unit comes with in suite laundry, parking for one, and all furnishings. Utilities included. Please contact rent@happyplacepm.com $2,500.00/month",Immediately,2024-03-17
RENTED – 6 Abbey Road – 3 BR 1 BATH TOWNHOUSE – NOV 1,"6 Abbey Road, Halifax, NS, Canada",,3,1,Limited,"Welcome to 6 Abbey Road! This 3 bedroom, charming 2 story home is ready for tenants as of November 1st! It has a fenced in back yard with easy access to amenities.  It includes a renovated modern, eat in kitchen. Included: 2 in 1 washer/dryer combo on site. 1 parking space available and street parking Pet friendly on a case by case basis. Contact us today: rent@happyplacepm.com",RENTED,2024-03-17
RENTED – 10B Booth Street –  CHARMING 2 BR 1 BATH DARTMOUTH DUPLEX AVAIL JANUARY 1ST!,"10 Booth Street, Dartmouth, NS, Canada",,2,1,,"Welcome to Booth Street! This rental is conveniently located minutes away from NSCC Akerley Campus, major grocery and restaurant chains and all the amenities that Main Street Dartmouth has to offer! We are also on a major bus route. The space boasts 2 bedrooms, 1 bathroom, a private patio, in suite front load laundry, driveway parking and has two new heatpump units for max effiency. We are offering a 12 month fixed term lease at 2000/month + utilities Please email rent@happyplacepm.com or text 902 220 5666 for an application and viewing time today!",RENTED,2024-03-17
159 Farnham Gate Unit 206 – Halifax –  RENTED!,,,2,1.5,no,"This condo unit is available October 1st. – 2 bedrooms (large master bedroom with spacious walk in closet) – 1.5 baths – two storey – quiet building – 1 assigned parking spot – 1242 sq. feet – wood floors (other than kitchen, stairs and bathrooms) new flooring on second floor  installed and carpet replaced on stairs in 2019 – washer, dryer and dishwasher replaced in 2022 – electric heat, not included $1,900.00 a month + Heat/NSP (water included) Please email rent@happyplacepm.com for an application & viewing time. Professionally Managed by Happy Place Property Management",October 1,2024-03-17
2336 Agricola Street – TRENDY 1 BED 1 BATH AGRICOLA STREET UNIT AVAILABLE JAN 1,"2336 Agricola Street, Halifax, NS, Canada",,1,1,Limited,"Welcome to Agricola Street! Rent is $1900 + Power This trendy, newly updated apartment is now available for new tenants! This location can’t be beat, you’re less than a 5 minute drive (or 20 minute walk) from Halifax’s downtown core, and steps away from North End favourites such as Hali Deli, Bar Kismet, Young Pocha, etc This space is apart of an 8 unit complex but has its own civic address and entrance. This suite is located on the lower level and comes with stainless steel kitchen appliances and in suite laundry. Professionally managed by Happy Place Property Management www.happyplacepm.com. We are considering pets on a case by case basis. Please email rent@happyplacepm.com for more details",Jan 1,2024-03-17
128 Pinecrest – 2 BR 1 BATH GROUND LEVEL UNIT AVAILABLE DECEMBER 1ST,"128 Pinecrest Drive, Dartmouth, NS, Canada",,2,1,Limited,Welcome to Pinecrest! This charming 2 BR 1 Bath Unit is ready for tenants as of December 1st! This unit boasts big windows to allow for a ton of natural light and has been brand newly renovated. The space comes with parking and shared laundry. Rent is $1750 + Power Please email rent@happyplacepm.com for an application & viewing.    ,Nov 1,2024-03-17
"RENTED – 11 Catherine Street, Dartmouth – 2 Bedroom + In Suite Laundry Unit Available Now!!","11 Catherine St, Dartmouth, NS B3A 1S5, Canada",,2,1,Yes,"Welcome to Catherine St, Dartmouth! This 2 bedroom unit is available for November 15th. This unit comes with in suite laundry and stainless steel appliances. Rent is $1500 + Utilities Water is included, Nova Scotia power is extra. Professionally managed by Happy Place Property Management. www.happyplacepm.com Please contact 902-220-5666 or rent@happyplacepm.com for a viewing!",November 15th,2024-03-17
NOV 15th – 57 Shepherd Road Halifax – 3 BR 1 BATH TOWNHOUSE,"57 Shepherd Rd, Halifax, NS B3P 2K6, Canada",,3,1,Yes,"NOV 15th – 57 Shepherd Road Halifax – 3 BR 1 BATH TOWNHOUSE Features Include: 2 Level Townhouse Main Floor has Brand New White Kitchen Going In & Living Room! New Vinyl Plank flooring 4 Appliances (Fridge, Stove & Washer, Dryer) Pet Friendly Electric Heat Back Yard is private (doesn’t back onto other homes) In an area of town homes that are mainly owner occupied & exterior maintained by condo corporation. Rent is $2150.00 + Utilities (NS Power + Halifax Water)",Rented,2024-03-17
"RENTED – 2913 Ostrea Lake Road – Beautiful Trendy Loft Apartment On Ostrea Lake, Musquodoboit Harbour!","2913 Ostrea Lake Road, Musquodoboit Harbour, NS, Canada",,1,1,Yes,"LAKEFRONT – TRENDY FURNISHED LOFT STUDIO APARTMENT – OSTREA LAKE Road, Musquodoboit Harbour You are going to love this unique loft style studio apartment! Live in a peaceful setting surrounded by water. Lease for 6 months or Longer Rent is $1600 /Month + Nova Scotia Power and includes water NS Power average is $149/month Please note that this unit comes furnished with the furnishings pictured in the ad and there is no laundry. Pet Friendly Professionally managed by www.happyplacepm.com",Unavailable,2024-03-17
86 Taranaki Drive – Well Maintained 3 BR 1.5 Bath Semi-Detached Home For Rent December 1st!,"86 Taranaki Dr, Dartmouth, NS B2W 4X7, Canada",,3,1,Yes,"Welcome to Forest Hills! This beautifully maintained family home will be rental ready for December 1st! The home is about 20 minutes from Downtown Halifax and 13 minutes from Downtown Dartmouth. We are steps away from Gateway Meat Market, Sobeys and Tim Hortons. This lovely home comes with 5 appliances including laundry in the basement. There are 3 spacious, well lit bedrooms upstairs along with a 3 piece bathroom. There is ample storage space and a 2 piece bathroom on the basement level. Please reach out to rent@happyplacepm.com or text 902-220-5666 for an application and to set up a viewing. Professionally managed by Happy Place Property Management www.happyplacepm.com Rent is 2150 + utilities. NSP & HFX Water.  ",RENTED,2024-03-17
2332 Agricola St – 1 BR 1 BATH CHARMING NORTH END APARTMENT JANUARY 1ST,"2332 Agricola Street, Halifax, NS, Canada",,1,0,Limited,"Welcome to Agricola Street! This trendy, newly updated apartment is available for rent for January 1st, 2024 This location can’t be beat, you’re less than a 5 minute drive (or 20 minute walk) from Halifax’s downtown core, and steps away from North End favourites such as Hali Deli, Bar Kismet, Young Pocha This space is apart of an 8 unit complex but has its own civic address and entrance. This suite is located on the lower level and comes with stainless steel kitchen appliances and in suite laundry. We are considering pets on a case by case basis. Please email rent@happyplacepm.com or text 902-220-5666 for more details Professionally managed by Happy Place Property Management",January 1st,2024-03-17
"MAR 1st Cranberry Crescent, Dartmouth – 2 BR 1 BATHROOM CHARMING UPPER UNIT DUPLEX!","53 Cranberry Crescent, Dartmouth, NS, Canada","$2,100",2,1,limited,"Welcome to 53 Cranberry Crescent! Charming 2 bedroom, 1 bathroom main level unit. This home has been beautifully maintained by its original owners, with beautiful landscaping in both the front and back. The main level boasts a kitchen, dining room, 2 bedrooms and a full bath with access to the lovely sunroom. This suite also comes with access to the little shed out back. Rent is $2100.00 + utilities. Please email rent@happyplacepm.com to schedule a viewing and receive an application.","March 1st, 2024",2024-03-17
RENTED – 55 David Drive- Lawrencetown – Beautiful Large Family Home – Oct 1,,,4,2.5,Yes,"55 David Drive- Lawrencetown – Beautiful Large Family Home – Oct. 1st This is a large family home with 2200 sq ft!   It even has a fireplace for your family to enjoy together. 5 Minutes from Lawrencetown and Conrods Beach 4 Bedrooms 2.5 Baths Laundry Kitchen Appliances Shed Pet Friendly!! Large Property Please note snow and lawn care will be the responsibility of the tenant. Book your appointment today! Utilities not included $3,100 per month Please email rent@happyplacepm.com for an application & viewing time. Professionally Managed by Happy Place Property Management  ",Unavailable,2024-03-17
2330 Agricola Street – TRENDY NORTH END 1 BR 1 BATH SPACIOUS APARTMENT AVAILABLE JAN 1ST,"2330 Agricola St, Halifax, NS B3K 4B6, Canada",,1,1,Limited,"Welcome to Agricola Street! This trendy, newly updated apartment is available for rent for January 1st, 2024. This location can’t be beat, you’re less than a 5 minute drive (or 20 minute walk) from Halifax’s downtown core, and steps away from North End favourites such as Hali Deli, Bar Kismet, Young Pocha and more! This space is apart of an 8 unit complex but has its own civic address and entrance. This suite is located on the upper level and comes with stainless steel kitchen appliances and in suite laundry and spacious deck perfect for entertaining! We are considering pets on a case by case basis. Please email rent@happyplacepm.com for more details or text 902-220-5666 Professionally managed by Happy Place Property Management      ","January 1st, 2024",2024-03-17
"JULY 1st: 287 Hillside Drive, Boutilier’s Point – 4 BR 2.5 BATH CHARMING CHARACTER HOME!","287 Hillside Dr, Boutiliers Point, NS B3Z 1W9, Canada",,4,2.5,Limited,"Welcome to Hillside Drive, Boutilier’s Point! This stunning character home boasts views of St. Margaret’s bay and comes with 4 bedrooms and 2.5 bathrooms and sits on a 1.72 acre lot. There are heat pumps and a wood stove. NSP estimate is $140/month and there is no water bill since the home is on a well! The main level includes a large foyer, kitchen, open concept dining room, powder room, workshop/storage, laundry room, and both living and dining rooms feature walk outs. There’s also a large den with views of the backyard. There is a unique spiral staircase leading you to the catwalk bathed in natural light from all the windows. The master bedroom features a walk in closet and en suite, and 2 of the bedrooms have their own balconies. The exterior includes an attached woodshed, detached storage shed and 2 patios. The home backs onto the Rails to Trails and is less than a 10 minutes drive from major beaches and a short drive from Tantallon. Professionally Managed by www.happyplacepm.com Please email rent@happyplacepm.com for more information",July 1st,2024-03-17
178 Southgate Drive – IMMACULATE 5 BED 3 BATHROOM BEDFORD HOME,"178 Southgate Drive, Bedford, NS, Canada",,5,3.5,, Welcome to Southgate Drive! This stunning executive rental is ready for tenants now! This space boasts a large open concept living/dining area upon first entering the home with beautiful ocean views. There is a spacious deck for entertaining and a huge attached garage. Upstairs boasts the master bedroom with jacuzzi tub in the en suite and 3 other spacious bedrooms with massive closets. There is a fully functional in law suite in the basement with a walk out to the private backyard. Rent is 3700.00 + utilities. Please email rent@happyplacepm.com for an application & viewing appointment!,"October 1st, 2023",2024-03-17
SEPT 1st – 2324 Agricola Street – CHARMING 1 BR 1 BATH NORTH END APARTMENT,"2324 Agricola Street, Halifax, NS, Canada",,1,1,Limited,"Welcome to Agricola Street! This trendy, newly updated apartment is available for rent for September 1st, 2023. This location can’t be beat, you’re less than a 5 minute drive (or 20 minute walk) from Halifax’s downtown core, and steps away from Trendy North End favourites such as Hali Deli, Bar Kismet and Young Pocha. This space is apart of an 8 unit complex but has its own civic address and entrance. This suite is located on the upper level and comes with stainless steel kitchen appliances and in suite laundry & Balcony. We are considering pets on a case by case basis. Please email rent@happyplacepm.com for more details",September 1,2024-03-17
2322 Agricola St – NORTH END 1 BR 1 BATH NEWLY UPDATED APT AVAILABLE JULY 1ST,"2322 Agricola St, Halifax, NS B3K 4B6, Canada",,1,1,Limited,"Welcome to Agricola Street! This trendy, newly updated apartment is available for rent for Aug 1, 2023. This location can’t be beat, you’re less than a 5 minute drive (or 20 minute walk) from Halifax’s downtown core, and steps away from North End favourites  such as Hali Deli, Bar Kismet, Young Pocha This space is apart of an 8 unit complex but has its own civic address and entrance. This suite is located on the lower level and comes with stainless steel kitchen appliances and in suite laundry. We are considering pets on a case by case basis. Please email maryann@happyplacepm.com for more details","July 1st, 2023",2024-03-17
